feature,importance
pc1_kw_roll3,0.9608344986761492
pc1_kw_lag2,0.027060734254382657
pc1_kw_lag1,0.00877239292684597
hour_cos,0.0016051727448243788
hour,0.00031405789051642494
DG1_power_kw,0.0002567746847240108
speed_kn,0.000252003242728728
propulsion_power_mw,0.00024780668169773764
hour_sin,0.00024053259176106035
day_of_week,0.00019027227883449256
unit_ship2,5.976783017402243e-05
unit_ship1,5.8636462733886004e-05
