timestamp,powerconsumer1_energy_mwh,elapsed_time_min,unit,speed_kn,phase,DG1_energy_produced_mwh,propulsion_power_mw,fins_status,timestamp_dt,powerconsumer1_kw,DG1_power_kw,date,hour,minute,day_of_week,is_weekend,hour_sin,hour_cos,pc1_kw_lag1,pc1_kw_lag2,pc1_kw_roll3,dg1_on,consumer_share_dg1
1761278400000,0.022205556,5,ship1,36.307,SEA,0.3636666666666667,7.921233333333333,1,2025-10-24 04:00:00,266.466672,4364.000000000001,2025-10-24,4,0,4,0,0.8660254037844386,0.5000000000000001,,,266.466672,1,0.06106019065077909
1761278700000,0.022836111,5,ship1,36.5,SEA,0.362,7.880333333333333,1,2025-10-24 04:05:00,274.03333200000003,4343.999999999999,2025-10-24,4,5,4,0,0.8660254037844386,0.5000000000000001,266.466672,,270.250002,1,0.06308317955801107
1761279000000,0.023036111,5,ship1,36.6,SEA,0.368,8.105433333333332,1,2025-10-24 04:10:00,276.433332,4416.0,2025-10-24,4,10,4,0,0.8660254037844386,0.5000000000000001,274.03333200000003,266.466672,272.31111200000004,1,0.0625981277173913
1761279300000,0.023263889,5,ship1,36.844,SEA,0.368,8.1211,1,2025-10-24 04:15:00,279.166668,4416.0,2025-10-24,4,15,4,0,0.8660254037844386,0.5000000000000001,276.433332,274.03333200000003,276.54444400000006,1,0.06321708967391304
1761279600000,0.023294444,5,ship1,36.936,SEA,0.36633333333333334,8.103866666666667,1,2025-10-24 04:20:00,279.53332800000004,4396.0,2025-10-24,4,20,4,0,0.8660254037844386,0.5000000000000001,279.166668,276.433332,278.37777600000004,1,0.0635881091901729
1761279900000,0.023402778,5,ship1,36.976,SEA,0.36633333333333334,8.132566666666667,1,2025-10-24 04:25:00,280.833336,4396.0,2025-10-24,4,25,4,0,0.8660254037844386,0.5000000000000001,279.53332800000004,279.166668,279.844444,1,0.06388383439490446
1761280200000,0.023855556,5,ship1,37.105000000000004,SEA,0.366,8.117433333333333,1,2025-10-24 04:30:00,286.26667199999997,4391.999999999999,2025-10-24,4,30,4,0,0.8660254037844386,0.5000000000000001,280.833336,279.53332800000004,282.21111199999996,1,0.06517911475409836
1761280500000,0.023686111,5,ship1,37.192,SEA,0.366,8.101966666666668,1,2025-10-24 04:35:00,284.233332,4391.999999999999,2025-10-24,4,35,4,0,0.8660254037844386,0.5000000000000001,286.26667199999997,280.833336,283.77777999999995,1,0.06471615027322405
1761280800000,0.024016667,5,ship1,37.260000000000005,SEA,0.36633333333333334,8.1561,1,2025-10-24 04:40:00,288.20000400000004,4396.0,2025-10-24,4,40,4,0,0.8660254037844386,0.5000000000000001,284.233332,286.26667199999997,286.233336,1,0.06555960054595088
1761281100000,0.024488889,5,ship1,37.415,SEA,0.36533333333333334,8.123,1,2025-10-24 04:45:00,293.866668,4384.0,2025-10-24,4,45,4,0,0.8660254037844386,0.5000000000000001,288.20000400000004,284.233332,288.76666800000004,1,0.06703163047445256
